# Climate data for Warsaw, Poland
# Source: Wikipedia, 2017-01-14
#
# Created as: pd.read_html("http://en.wikipedia.org/wiki/Warsaw")[2]
#
# This serves as a nice string processing & data cleansing exercise.
,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Climate data for Warsaw (1981–2010) Extremes (1951–present),,,,,,,,,,,,,
1,Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
2,Record high °C (°F),13.8 (56.8),17.2 (63),22.9 (73.2),30.5 (86.9),32.8 (91),35.1 (95.2),36.0 (96.8),37.1 (98.8),34.5 (94.1),25.9 (78.6),18.9 (66),15.4 (59.7),37.1 (98.8)
3,Average high °C (°F),0.6 (33.1),1.9 (35.4),6.6 (43.9),13.6 (56.5),19.5 (67.1),21.9 (71.4),24.4 (75.9),23.9 (75),18.4 (65.1),12.7 (54.9),5.9 (42.6),1.6 (34.9),12.6 (54.7)
4,Daily mean °C (°F),−1.8 (28.8),−0.6 (30.9),2.8 (37),8.7 (47.7),14.2 (57.6),17.0 (62.6),19.2 (66.6),18.3 (64.9),13.5 (56.3),8.5 (47.3),3.3 (37.9),−0.7 (30.7),8.5 (47.3)
5,Average low °C (°F),−4.2 (24.4),−3.6 (25.5),−0.6 (30.9),3.9 (39),8.9 (48),11.8 (53.2),13.9 (57),13.1 (55.6),9.1 (48.4),4.8 (40.6),0.6 (33.1),−3.0 (26.6),4.6 (40.3)
6,Record low °C (°F),−30.7 (−23.3),−27.6 (−17.7),−22.6 (−8.7),−6.9 (19.6),−3.1 (26.4),1.8 (35.2),4.6 (40.3),3.0 (37.4),−1.6 (29.1),−9.6 (14.7),−17.0 (1.4),−24.8 (−12.6),−30.7 (−23.3)
7,Average precipitation mm (inches),27 (1.06),26 (1.02),31 (1.22),34 (1.34),56 (2.2),69 (2.72),73 (2.87),64 (2.52),46 (1.81),32 (1.26),37 (1.46),34 (1.34),529 (20.83)
8,Average precipitation days,12,11,12,13,14,15,14,13,15,15,15,14,163
9,Source #1: Pogoda.ru.net[49],,,,,,,,,,,,,
10,Source #2: KNMI[50],,,,,,,,,,,,,
